,Unnamed: 0,Unnamed: 0.1,Date,Name,ASCII Name,Governor ID,Alliance,Power,Total Kills,Kill Points,T1 Kills,T2 Kills,T3 Kills,T4 Kills,T5 Kills,RSS Assistance,Alliance Helps,Dead Troops,KP By Kills
3107,3107,2022,2021-12-02,Alischer,Alischer,6488711,RA38,73924936.0,249914557,-1815428876,42535634,1980190,3311821,158791461,43295451,10676283578,139071,17137662,2479538420.0
3108,3108,3024,2021-12-09,Alischer,Alischer,6488711,RA38,74455326.0,249914557,-1815428876,42535634,1980190,3311821,158791461,43295451,10676283578,139360,17137662,2479538420.0
3109,3109,4262,2021-12-14,Alischer,Alischer,6488711,RA38,74860872.0,251319695,-1794185725,42535637,1980329,3311829,159477153,44014747,10676283578,139690,17145929,2500781571.0
3110,3110,5263,2021-12-29,Alischer,Alischer,6488711,Rt38,71762947.0,255696959,-1725262669,42576078,1980473,3311884,161258955,46569569,0,0,0,2569704627.0
3111,3111,1023,2022-01-01,Alischer,Alischer,6488711,RA38,70703391.0,257749200,-1694505847,42576079,1980477,3311885,162287744,47593015,10816283578,140711,17818622,2600461449.0
3233,3233,485,2021-11-22,NEBs,NEBs,66371997,RA38,0.0,236767510,-1329582650,3907214,3562648,6076817,153124598,70096233,4106312249,31246,10568067,2965384646.0
3234,3234,2437,2021-12-02,NEBs,NEBs,66371997,RA38,85474789.0,236928625,-1326360350,3907214,3562648,6076817,153124598,70257348,4106312249,31452,10568067,2968606946.0
3235,3235,3441,2021-12-09,NEBs,NEBs,66371997,RA38,85539879.0,236928626,-1326360340,3907214,3562648,6076817,153124599,70257348,4106312249,31616,10568068,2968606956.0
3236,3236,4685,2021-12-14,NEBs,NEBs,66371997,RA38,84878359.0,240498553,-1265194356,3907330,3562648,6076817,154147625,72804133,4106312249,31915,10568068,3029772940.0
3237,3237,5691,2021-12-29,NEBs,NEBs,66371997,Ri38,82873589.0,248047480,-1141004045,3919688,3563680,6083901,156788787,77691424,4111312249,32368,11276625,3153963251.0
3238,3238,1459,2022-01-01,NEBs,NEBs,66371997,RA38,79370299.0,254346161,-1041420239,3952667,3563680,6083901,159362470,81383443,4111312249,32565,11799036,3253547057.0
3454,3454,5131,2021-12-14,ᴰᴳ TheWall,Dᴳ TheWall,683664,RR38,76915336.0,6890972,1534834626,140670,96194,390241,6260948,2919,18998809988,99257,9855276,64449346.0
3489,3489,4482,2021-12-14,Harald OG,Harald OG,68635481,RP38,32912755.0,753464,127678266,385721,128121,150775,88638,209,73511103,21885,3177156,1827046.0
3506,3506,3307,2021-12-09,Kayy00,Kayy00,68734401,Rw38,28088011.0,0,10887329,0,0,0,0,0,46803528,4338,138690,0.0
3536,3536,3837,2021-12-09,saw FarhoD,saw FarhoD,69100400,F38S,25984374.0,0,51355672,0,0,0,0,0,2303844268,23079,1370159,0.0
3543,3543,4911,2021-12-14,Slayer x badboy,Slayer x badboy,69199791,RX38,48165747.0,1495605,39365347,542567,54458,54087,844493,0,731859274,34383,206761,8878707.0
3567,3567,4605,2021-12-14,Louie13,Louie13,69545360,RP38,80119343.0,1999587,164414368,39102,48004,219075,1693406,0,1786811554,25514,905491,17914188.0
3735,3735,512,2021-11-22,PABAN,PABAN,71320446,RR38,98673417.0,305942415,-464235402,4089724,2689010,3574760,210154153,85434768,7745421176,19630,11581794,3830731894.0
3736,3736,2460,2021-12-02,PABAN,PABAN,71320446,RR38,100947877.0,305981875,-463840802,4089724,2689010,3574760,210193613,85434768,7975421176,20225,11581794,3831126494.0
3737,3737,3465,2021-12-09,PABAN,PABAN,71320446,RR38,102569797.0,305981875,-463840802,4089724,2689010,3574760,210193613,85434768,8085421176,20473,11581794,3831126494.0
3738,3738,4707,2021-12-14,PABAN,PABAN,71320446,RR38,98054067.0,321492885,-219941912,4089724,2689010,3574760,216825744,94313647,8085421176,20678,11683814,4075025384.0
3739,3739,5716,2021-12-29,PABAN,PABAN,71320446,Ri38,99840177.0,327161474,-135194450,4110010,2789908,3664167,219323342,97274047,8085421176,21018,11992858,4159772846.0
3740,3740,1486,2022-01-01,PABAN,PABAN,71320446,RR38,97354147.0,332514639,-63456466,4457742,2792090,3666478,222159739,99438590,8085421176,21190,12384928,4231510830.0
3842,3842,6035,2021-12-29,a4dani,a4dani,73551691,Rt38,71031826.0,20698654,669478762,8154481,398155,999384,4189544,6957090,3485501841,81578,4103651,187461982.0
3865,3865,4481,2021-12-14,Haniyasu G,Haniyasu G,73884186,RX38,26499219.0,499871,21952858,91553,41589,12180,354547,2,304983789,28860,1905252,3695718.0
3944,3944,4523,2021-12-14,Izzy 永,Izzy 永,75144155,RA38,50987543.0,14759477,345352388,5285270,327534,13989,9132565,119,5472260534,43485,3144842,93096108.0
4000,4000,2513,2021-12-02,Pooty Slayer,Pooty Slayer,75767119,RR38,82393130.0,3912431,321454033,267008,948343,307429,2387751,1900,799569124,17731,2954159,27095313.0
4051,4051,3177,2021-12-09,Dèvalish,Devalish,76122309,RR38,53300666.0,0,146471215,0,0,0,0,0,213282533,51123,2002380,0.0
4052,4052,4413,2021-12-14,Dèvalish,Devalish,76122309,RR38,55597082.0,8,166688014,8,0,0,0,0,213282533,52856,2068923,1.0
4069,4069,3433,2021-12-09,Mschief Manage,Mschief Manage,76180743,RP38,40686227.0,4568443,188507333,3203777,12611,16299,1335756,0,698848056,65138,3062289,14088733.0
4082,4082,4776,2021-12-14,Prоstoy,Prоstoy,76216620,RA38,52467135.0,6717833,491620350,965721,783835,879749,4087526,1002,695303067,61324,3407179,46175110.0
4095,4095,6125,2021-12-29,Тuz,Тuz,76218861,#N/A,50056681.0,7025715,580698829,432725,313331,88668,6190889,102,319650402,46374,2980680,62978809.0
4113,4113,5301,2021-12-29,Barakjiii,Barakjiii,76297693,Rt38,52447111.0,5295435,495672084,342554,12110,227531,4712023,1217,2789973019,46104,5099724,48147424.0
4178,4178,4089,2021-12-09,M3llow Izzy x,M3llow Izzy x,76856995,Ri38,24430971.0,0,24787745,0,0,0,0,0,2607869292,3237,1849766,0.0
4194,4194,4335,2021-12-14,BunnyOfImpurity,BunnyOfImpurity,7696305,RM38,31458913.0,2542092,28295284,70657,134145,1912791,422480,2019,4076916973,22971,1678353,12198765.0
4326,4326,5682,2021-12-29,MrBANvn1st,MrBANvn1st,78823033,RP38,37994655.0,0,53901116,0,0,0,0,0,570749545,24009,1433034,0.0
4685,4684,3144,2021-12-09,D1sasterx87,D1sasterx87,82887206,RPnJ,27198419.0,0,12071221,0,0,0,0,0,20511353,16416,1141858,0.0
4869,4868,5933,2021-12-29,SlayerˣSophieM,SlayerˣSophieM,84084376,RX38,32544263.0,4485137,44599398,523450,176243,584388,2341645,859411,399454185,21200,1836134,43399398.0
4911,4910,3359,2021-12-09,Lil ARES,Lil ARES,84468452,Rw38,32341495.0,0,100360032,0,0,0,0,0,981700357,44432,1302302,0.0
4916,4915,3894,2021-12-09,ᴰᴴLil Crony,DᴴLil Crony,84468847,Rw38,33769210.0,2253073,150835086,285563,689934,959289,318287,0,1190820946,43250,1179667,8457006.0
4949,4948,2001,2021-12-02,511 pirate,511 pirate,84483508,Rt38,27067975.0,0,32690907,0,0,0,0,0,410157552,9711,577010,0.0
5024,5023,3859,2021-12-09,vëdgë,vedge,84981994,#N/A,28285497.0,1228537,23583385,98199,398869,209522,514902,7045,137794064,14895,1052588,6945385.0
5103,5102,2701,2021-12-02,The REAL Całî,The REAL Cali,85689750,RA38,92258960.0,51385612,1856148730,6495584,4940265,6005766,33943922,75,2302405582,36333,6651084,374643430.0
5105,5104,4359,2021-12-14,CałîTheGreat,CaliTheGreat,85689750,RA38,89778306.0,222460925,-2128749597,16510707,14942260,16008707,143098881,31900370,2302405582,36981,7036217,2166217699.0
5106,5105,5362,2021-12-29,CałîTheGreat,CaliTheGreat,85689750,Rt38,79987010.0,248316225,-1752475789,16587235,14945750,16013545,157016552,43753143,2527405582,39733,8633063,2542491507.0
5107,5106,1120,2022-01-01,CałîTheGreat,CaliTheGreat,85689750,RA38,76949321.0,263344305,-1569046904,17520894,14971229,16091494,166710598,48050090,2527405582,41090,9539221,2725920392.0
5357,5356,3702,2021-12-09,Sudirman OG,Sudirman OG,90562328,Ri38,27691291.0,2847782,142679508,24730,734746,267985,1820321,0,1140262481,13783,650653,20749588.0
5380,5379,4560,2021-12-14,Koruoa MINI,Koruoa MINI,91218417,Ri38,27578000.0,3911218,154848205,402708,900247,574060,2034197,6,0,36119,956067,24519365.0
5412,5411,2228,2021-12-02,GerNbET,GerNbET,91438459,RP38,25074056.0,0,27879188,0,0,0,0,0,1104419413,13581,626112,0.0
5520,5519,5984,2021-12-29,Trooper Farmer,Trooper Farmer,95636110,Rt38,39619943.0,5793864,129989689,4634185,664448,495214,0,17,449531,56106,562800,4236929.0
5706,5705,4064,2021-12-09,KannaK0bayashi,KannaK0bayashi,96008726,RP38,17835937.0,135485,5721226,7713,30678,527,94098,2469,83831078,9764,145774,1055366.0
5894,5891,4014,2021-12-09,Bl4cK Wid0W,Bl4cK Wid0W,96241549,Rw38,24464686.0,535589,13605408,310591,58684,58943,95847,11524,4,25682,175242,1604208.0
5952,5949,4096,2021-12-09,M3llow Switch,M3llow Switch,96258082,Ri38,19573759.0,8137,1406633,4019,995,280,2842,1,2831468,4989,99628,32353.0
6000,5997,2991,2021-12-02,驃騎Amethy,驃騎Amethy,96291019,RR38,31353057.0,3614000,167544397,300228,500364,433946,2379462,0,170888760,27781,563339,26591177.0
6189,6183,2369,2021-12-02,M3LLOW SQUIRREL,M3LLOW SQUIRREL,97642297,Ri38,28857678.0,2309683,20810583,199178,377428,1578235,154842,0,322909904,4487,289607,8656051.0
6190,6184,3375,2021-12-09,M3LLOW SQUIRREL,M3LLOW SQUIRREL,97642297,Ri38,29479543.0,0,20810583,0,0,0,0,0,347909904,4603,289607,0.0
6204,6198,6186,2021-12-29,乄Daver乄,乄Daver乄,9775721,RK38,49595784.0,0,35598212,0,0,0,0,0,3776141476,11479,3559491,0.0
6213,6207,2225,2021-12-02,GIYU T0MI0KA,GIYU T0MI0KA,97830892,RP38,41655322.0,0,57750963,0,0,0,0,0,291021058,6487,839353,0.0
